Anio	Estacion	Sitio	Cuadrante	Area_m2	Especie	Abundancia	A	gs	Fv/Fm	Chl_total
2009	Seca	BS1	7	10	MD	4	3.42	160	0.791	3.2
2009	Seca	BS1	8	10	MD	5	3.94	212	0.832	3.7
2009	Seca	BS1	9	10	MD	4	4.06	189	0.835	3.3
2009	Seca	BS1	10	10	MD	3	4.46	190	0.79	3.4
2009	Seca	BS1	11	10	MD	5	3.2	205	0.806	3.2
2009	Seca	BS1	12	10	MD	4	3.53	166	0.795	2.9
2009	Seca	BS1	13	10	MD	3	3.2	171	0.791	4
2009	Seca	BS1	14	10	MD	4	4.29	159	0.799	4.1
2009	Seca	BS1	15	10	MD	4	3.64	174	0.839	3.8
2009	Seca	BS1	16	10	MD	3	4.33	212	0.825	4.7
2009	Seca	BS1	17	10	MD	3	3.55	196	0.79	3.6
2009	Seca	BS1	18	10	MD	4	4.04	207	0.806	3.4
2009	Seca	BS1	19	10	MD	4	4.04	153	0.81	3.6
2009	Seca	BS1	20	10	MD	5	3.77	223	0.735	3.2
2009	Seca	BS1	21	10	MD	5	3.58	216	0.811	3.6
2009	Seca	BS1	22	10	MD	4	2.81	216	0.829	3.5
2009	Seca	BS1	23	10	MD	3	3.2	199	0.8	2.5
2009	Seca	BS1	24	10	MD	3	4.02	193	0.767	3.5
2009	Seca	BS1	25	10	MD	3	3.17	184	0.791	2.9
2009	Seca	BS1	26	10	MD	5	2.76	162	0.826	3.5
2009	Seca	BS1	27	10	MD	4	3.77	218	0.792	4.1
2009	Seca	BS1	28	10	MD	4	2.72	202	0.833	3.7
2009	Seca	BS1	29	10	MD	4	3.26	190	0.781	3.6
2009	Seca	BS1	30	10	MD	3	3.31	185	0.797	3.2
2009	Lluviosa	BS1	1	10	MD	5	3.01	194	0.779	3.3
2009	Lluviosa	BS1	2	10	MD	5	3.79	200	0.794	4.1
2009	Lluviosa	BS1	3	10	MD	5	3.93	217	0.801	3.2
2009	Lluviosa	BS1	4	10	MD	4	3.2	238	0.803	3.5
2009	Lluviosa	BS1	5	10	MD	3	3.37	220	0.802	2.9
2009	Lluviosa	BS1	6	10	MD	3	4.17	159	0.765	4.1
2009	Lluviosa	BS1	7	10	MD	5	4.56	215	0.823	3.8
2009	Lluviosa	BS1	8	10	MD	4	3.94	215	0.819	3.6
2009	Lluviosa	BS1	9	10	MD	5	3.65	190	0.786	3.4
2009	Lluviosa	BS1	10	10	MD	3	4.88	253	0.793	3.9
2009	Lluviosa	BS1	11	10	MD	4	4.04	250	0.781	3.2
2009	Lluviosa	BS1	12	10	MD	4	4.31	199	0.796	3.7
2009	Lluviosa	BS1	13	10	MD	5	5.19	173	0.782	3.2
2009	Lluviosa	BS1	14	10	MD	3	3.49	227	0.809	3.2
2009	Lluviosa	BS1	15	10	MD	3	3.85	156	0.788	3.4
2009	Lluviosa	BS1	16	10	MD	3	3.75	188	0.798	3.4
2009	Lluviosa	BS1	17	10	MD	4	3.09	212	0.795	4
2009	Lluviosa	BS1	18	10	MD	5	4.25	187	0.833	4.2
2009	Lluviosa	BS1	19	10	MD	5	4.01	199	0.807	3.8
2009	Lluviosa	BS1	20	10	MD	5	4.13	186	0.802	4.5
2009	Lluviosa	BS1	21	10	MD	5	3.27	209	0.795	2.6
2009	Lluviosa	BS1	22	10	MD	4	3.84	254	0.791	3.3
2009	Lluviosa	BS1	23	10	MD	3	3.45	160	0.815	3.6
2009	Lluviosa	BS1	24	10	MD	4	4.55	149	0.826	3.9
2009	Lluviosa	BS1	25	10	MD	3	3.75	177	0.792	3.8
2009	Lluviosa	BS1	26	10	MD	4	3.72	172	0.81	3.3
2009	Lluviosa	BS1	27	10	MD	5	3.86	169	0.792	4.2
2009	Lluviosa	BS1	28	10	MD	5	3.68	197	0.801	3.2
2009	Lluviosa	BS1	29	10	MD	5	4.34	206	0.796	3.9
2009	Lluviosa	BS1	30	10	MD	5	5.08	170	0.788	3.5
2009	Seca	BS1	1	10	MC	2	2.98	215	0.839	3.4
2009	Seca	BS1	2	10	MC	2	3.78	233	0.768	3.2
2009	Seca	BS1	3	10	MC	2	3.4	187	0.828	3.7
2009	Seca	BS1	4	10	MC	2	3.11	204	0.782	4
2009	Seca	BS1	5	10	MC	2	3.31	204	0.796	2.8
2009	Seca	BS1	6	10	MC	1	3.42	177	0.832	3.6
2009	Seca	BS1	7	10	MC	2	3.14	171	0.795	3.9
2009	Seca	BS1	8	10	MC	2	3.91	207	0.842	3.8
2009	Seca	BS1	9	10	MC	2	3.78	205	0.792	3.1
2009	Seca	BS1	10	10	MC	1	3.12	177	0.83	2.7
2009	Seca	BS1	11	10	MC	2	3.08	172	0.775	3.2
2009	Seca	BS1	12	10	MC	2	4.18	203	0.808	3.7
2009	Seca	BS1	13	10	MC	1	3.76	202	0.782	2.2
2009	Seca	BS1	14	10	MC	2	3.73	195	0.818	3.4
2009	Seca	BS1	15	10	MC	2	2.99	162	0.817	3.1
2009	Seca	BS1	16	10	MC	2	3.69	206	0.812	3.1
2009	Seca	BS1	17	10	MC	1	3.67	194	0.811	2.8
2009	Seca	BS1	18	10	MC	2	2.74	253	0.789	3.7
2009	Seca	BS1	19	10	MC	2	3.13	196	0.85	3.4
2009	Seca	BS1	20	10	MC	2	2.39	178	0.824	2.9
2009	Seca	BS1	21	10	MC	2	3.48	197	0.803	3.1
2009	Seca	BS1	22	10	MC	2	2.05	223	0.818	3.6
2009	Seca	BS1	23	10	MC	2	3.84	151	0.831	3.4
2009	Seca	BS1	24	10	MC	1	3.79	183	0.77	3.6
2009	Seca	BS1	25	10	MC	1	4.04	200	0.779	3.1
2009	Seca	BS1	26	10	MC	3	4.02	238	0.807	3.5
2009	Seca	BS1	27	10	MC	2	3.55	238	0.805	2.7
2009	Seca	BS1	28	10	MC	2	2.85	196	0.802	3.9
2009	Seca	BS1	29	10	MC	2	3.08	190	0.787	2.4
2009	Seca	BS1	30	10	MC	2	3.74	189	0.745	3
2009	Lluviosa	BS1	1	10	MC	3	3.72	204	0.776	4.1
2009	Lluviosa	BS1	2	10	MC	2	3.89	181	0.771	3.7
2009	Lluviosa	BS1	3	10	MC	3	4.49	197	0.826	2.3
2009	Lluviosa	BS1	4	10	MC	2	3.8	159	0.815	3.9
2009	Lluviosa	BS1	5	10	MC	1	3.12	207	0.783	3.8
2009	Lluviosa	BS1	6	10	MC	2	3.24	129	0.776	3.2
2009	Lluviosa	BS1	7	10	MC	3	3.65	175	0.766	3.3
2009	Lluviosa	BS1	8	10	MC	2	3.17	249	0.794	3.7
2009	Lluviosa	BS1	9	10	MC	3	3.92	178	0.793	3.4
2009	Lluviosa	BS1	10	10	MC	1	4.88	254	0.817	4
2009	Lluviosa	BS1	11	10	MC	2	3.68	185	0.819	3.5
2009	Lluviosa	BS1	12	10	MC	2	4.02	220	0.8	3
2009	Lluviosa	BS1	13	10	MC	3	3.89	222	0.776	3.6
2009	Lluviosa	BS1	14	10	MC	2	4.09	190	0.795	3.4
2009	Lluviosa	BS1	15	10	MC	1	4.59	154	0.772	2.4
2009	Lluviosa	BS1	16	10	MC	2	4.06	190	0.782	3
2009	Lluviosa	BS1	17	10	MC	2	4.08	186	0.827	3.6
2009	Lluviosa	BS1	18	10	MC	3	3.37	215	0.786	3.6
2009	Lluviosa	BS1	19	10	MC	3	3.32	140	0.844	3.6
2009	Lluviosa	BS1	20	10	MC	2	3.33	191	0.794	3.9
2009	Lluviosa	BS1	21	10	MC	2	3.24	220	0.81	3.6
2009	Lluviosa	BS1	22	10	MC	2	4.26	199	0.827	2.8
2009	Lluviosa	BS1	23	10	MC	1	4.11	204	0.775	3.4
2009	Lluviosa	BS1	24	10	MC	2	4.41	252	0.797	3.6
2009	Lluviosa	BS1	25	10	MC	2	4.39	248	0.816	3.6
2009	Lluviosa	BS1	26	10	MC	2	3.94	202	0.799	3.9
2009	Lluviosa	BS1	27	10	MC	2	4.5	198	0.748	3.1
2009	Lluviosa	BS1	28	10	MC	3	3.97	194	0.812	3.5
2009	Lluviosa	BS1	29	10	MC	2	4.12	217	0.78	3.2
2009	Lluviosa	BS1	30	10	MC	2	4.07	167	0.785	3.6
2009	Seca	BS2	1	10	SJ	19	2.97	174	0.756	2
2009	Seca	BS2	2	10	SJ	11	2.14	167	0.81	1.7
2009	Seca	BS2	3	10	SJ	16	3.18	192	0.822	1.6
2009	Seca	BS2	4	10	SJ	13	2.76	114	0.806	1.4
2009	Seca	BS2	5	10	SJ	14	3	193	0.833	1.3
2009	Seca	BS2	6	10	SJ	16	3.5	138	0.817	2.1
2009	Seca	BS2	7	10	SJ	11	2.12	140	0.816	1
2009	Seca	BS2	8	10	SJ	18	2.92	139	0.788	2.4
2009	Seca	BS2	9	10	SJ	11	3.84	148	0.786	2.2
2009	Seca	BS2	10	10	SJ	15	2.72	154	0.83	1.5
2009	Seca	BS2	11	10	SJ	10	2.69	149	0.77	1.7
2009	Seca	BS2	12	10	SJ	16	2.61	132	0.809	1.9
2009	Seca	BS2	13	10	SJ	17	2.74	134	0.779	1.9
2009	Seca	BS2	14	10	SJ	14	2.53	201	0.797	1.9
2009	Seca	BS2	15	10	SJ	15	3.02	217	0.791	3.2
2009	Seca	BS2	16	10	SJ	14	2.41	157	0.812	1.7
2009	Seca	BS2	17	10	SJ	11	3.25	200	0.801	2
2009	Seca	BS2	18	10	SJ	20	3.44	139	0.807	2.6
2009	Seca	BS2	19	10	SJ	13	2.62	147	0.83	1.4
2009	Seca	BS2	20	10	SJ	12	4.21	171	0.772	3.1
2009	Seca	BS2	21	10	SJ	15	2.63	216	0.769	1.8
2009	Seca	BS2	22	10	SJ	10	2.32	182	0.817	2.1
2009	Seca	BS2	23	10	SJ	20	3.43	158	0.801	2.3
2009	Seca	BS2	24	10	SJ	18	3.04	192	0.811	2
2009	Seca	BS2	25	10	SJ	20	3.67	170	0.777	2.3
2009	Seca	BS2	26	10	SJ	15	3.35	119	0.798	1.9
2009	Seca	BS2	27	10	SJ	10	3.44	151	0.813	2.3
2009	Seca	BS2	28	10	SJ	12	2.98	185	0.804	2
2009	Seca	BS2	29	10	SJ	19	3.06	128	0.79	2
2009	Seca	BS2	30	10	SJ	10	2.8	162	0.801	2
2009	Lluviosa	BS2	1	10	SJ	15	3.81	110	0.766	1.9
2009	Lluviosa	BS2	2	10	SJ	10	4.62	175	0.802	1.9
2009	Lluviosa	BS2	3	10	SJ	18	4.36	168	0.822	1.7
2009	Lluviosa	BS2	4	10	SJ	20	2.72	160	0.795	1.9
2009	Lluviosa	BS2	5	10	SJ	16	3.12	168	0.809	2.1
2009	Lluviosa	BS2	6	10	SJ	17	3.69	142	0.796	2.4
2009	Lluviosa	BS2	7	10	SJ	19	2.53	143	0.796	1.6
2009	Lluviosa	BS2	8	10	SJ	14	4.28	175	0.803	1.3
2009	Lluviosa	BS2	9	10	SJ	11	3.78	153	0.801	1.6
2009	Lluviosa	BS2	10	10	SJ	12	3.57	176	0.828	2.2
2009	Lluviosa	BS2	11	10	SJ	16	3.89	164	0.856	1.9
2009	Lluviosa	BS2	12	10	SJ	18	3.52	190	0.803	2.3
2009	Lluviosa	BS2	13	10	SJ	10	2.42	154	0.796	1.9
2009	Lluviosa	BS2	14	10	SJ	16	3.34	172	0.822	1.8
2009	Lluviosa	BS2	15	10	SJ	18	4.4	164	0.835	2.3
2009	Lluviosa	BS2	16	10	SJ	11	2.93	198	0.756	2.6
2009	Lluviosa	BS2	17	10	SJ	14	2.8	190	0.791	1.6
2009	Lluviosa	BS2	18	10	SJ	13	2.59	165	0.833	1.7
2009	Lluviosa	BS2	19	10	SJ	10	2.72	208	0.814	1.6
2009	Lluviosa	BS2	20	10	SJ	10	3.54	121	0.776	1.4
2009	Lluviosa	BS2	21	10	SJ	20	3.3	199	0.778	2.4
2009	Lluviosa	BS2	22	10	SJ	14	3.46	184	0.819	1.6
2009	Lluviosa	BS2	23	10	SJ	14	3.39	193	0.795	2.2
2009	Lluviosa	BS2	24	10	SJ	20	3.42	103	0.801	1.2
2009	Lluviosa	BS2	25	10	SJ	15	4.19	121	0.808	1.8
2009	Lluviosa	BS2	26	10	SJ	14	3.08	154	0.793	1.8
2009	Lluviosa	BS2	27	10	SJ	18	3.78	159	0.82	2.3
2009	Lluviosa	BS2	28	10	SJ	14	3.89	144	0.809	2.1
2009	Lluviosa	BS2	29	10	SJ	13	4.08	114	0.806	1
2009	Lluviosa	BS2	30	10	SJ	18	4.12	142	0.779	1.1
2009	Seca	BS2	1	10	VB	10	3.63	162	0.826	1.7
2009	Seca	BS2	2	10	VB	6	2.8	120	0.777	2.8
2009	Seca	BS2	3	10	VB	8	3.01	180	0.799	2.1
2009	Seca	BS2	4	10	VB	7	3.37	143	0.815	2.8
2009	Seca	BS2	5	10	VB	7	3.8	145	0.816	2.2
2009	Seca	BS2	6	10	VB	8	3.43	155	0.8	3.2
2009	Seca	BS2	7	10	VB	6	3.3	134	0.779	1.8
2009	Seca	BS2	8	10	VB	9	2.36	164	0.777	2.1
2009	Seca	BS2	9	10	VB	6	2.86	196	0.8	2.1
2009	Seca	BS2	10	10	VB	8	2.77	122	0.791	2.9
2009	Seca	BS2	11	10	VB	5	3.35	152	0.776	2.6
2009	Seca	BS2	12	10	VB	8	1.77	110	0.773	1.8
2009	Seca	BS2	13	10	VB	9	2.63	147	0.792	1.9
2009	Seca	BS2	14	10	VB	7	2.62	146	0.784	2.1
2009	Seca	BS2	15	10	VB	8	3.15	162	0.776	2.4
2009	Seca	BS2	16	10	VB	7	3.4	191	0.795	2.5
2009	Seca	BS2	17	10	VB	6	3.83	112	0.8	1.7
2009	Seca	BS2	18	10	VB	10	2.39	109	0.763	1.6
2009	Seca	BS2	19	10	VB	7	3.16	148	0.788	2.3
2009	Seca	BS2	20	10	VB	6	3.34	154	0.819	2.5
2009	Seca	BS2	21	10	VB	8	3.12	145	0.802	3
2009	Seca	BS2	22	10	VB	5	2.41	170	0.807	2.3
2009	Seca	BS2	23	10	VB	10	2.84	202	0.796	2.2
2009	Seca	BS2	24	10	VB	9	2.47	115	0.824	2.5
2009	Seca	BS2	25	10	VB	10	1.82	181	0.816	2.5
2009	Seca	BS2	26	10	VB	8	3.29	115	0.805	2.5
2009	Seca	BS2	27	10	VB	5	2.58	154	0.789	1.1
2009	Seca	BS2	28	10	VB	6	2.87	143	0.769	2.4
2009	Seca	BS2	29	10	VB	10	3.47	182	0.796	2.2
2009	Seca	BS2	30	10	VB	5	3	110	0.81	2.2
2009	Lluviosa	BS2	1	10	VB	8	2.9	138	0.814	2.5
2009	Lluviosa	BS2	2	10	VB	5	2.9	161	0.839	1.3
2009	Lluviosa	BS2	3	10	VB	9	3.63	150	0.813	1.8
2009	Lluviosa	BS2	4	10	VB	10	4.24	206	0.81	2.7
2009	Lluviosa	BS2	5	10	VB	8	3.62	128	0.815	2
2009	Lluviosa	BS2	6	10	VB	9	4.06	148	0.794	1.9
2009	Lluviosa	BS2	7	10	VB	10	3.4	134	0.815	1.4
2009	Lluviosa	BS2	8	10	VB	7	3.72	122	0.8	3
2009	Lluviosa	BS2	9	10	VB	6	3.25	142	0.834	1.9
2009	Lluviosa	BS2	10	10	VB	6	3.09	172	0.797	1.8
2009	Lluviosa	BS2	11	10	VB	8	3.98	169	0.811	2.7
2009	Lluviosa	BS2	12	10	VB	9	2.72	144	0.79	1.2
2009	Lluviosa	BS2	13	10	VB	5	3.94	130	0.805	2.1
2009	Lluviosa	BS2	14	10	VB	8	4.12	118	0.799	0.9
2009	Lluviosa	BS2	15	10	VB	9	3.62	194	0.813	2.3
2009	Lluviosa	BS2	16	10	VB	6	3.69	194	0.788	1.8
2009	Lluviosa	BS2	17	10	VB	7	3.55	112	0.793	1.4
2009	Lluviosa	BS2	18	10	VB	7	3.66	210	0.774	1.9
2009	Lluviosa	BS2	19	10	VB	5	3.3	193	0.767	1.9
2009	Lluviosa	BS2	20	10	VB	5	3.97	160	0.807	2.4
2009	Lluviosa	BS2	21	10	VB	10	2.91	174	0.805	2
2009	Lluviosa	BS2	22	10	VB	7	3.13	139	0.818	1.8
2009	Lluviosa	BS2	23	10	VB	7	4.27	217	0.78	2.3
2009	Lluviosa	BS2	24	10	VB	10	3.4	213	0.811	2.7
2009	Lluviosa	BS2	25	10	VB	8	3.02	201	0.847	1.8
2009	Lluviosa	BS2	26	10	VB	7	4.14	132	0.756	2.5
2009	Lluviosa	BS2	27	10	VB	9	3.55	109	0.827	2.7
2009	Lluviosa	BS2	28	10	VB	7	4.4	156	0.803	1.6
2009	Lluviosa	BS2	29	10	VB	7	2.76	123	0.817	2.3
2009	Lluviosa	BS2	30	10	VB	9	2.83	194	0.788	1.9
2009	Seca	BS2	1	10	MD	5	3.34	206	0.789	2.3
2009	Seca	BS2	2	10	MD	3	2.76	162	0.782	3
2009	Seca	BS2	3	10	MD	4	3.34	153	0.812	1.8
2009	Seca	BS2	4	10	MD	3	2.96	164	0.767	0.9
2009	Seca	BS2	5	10	MD	4	3.14	158	0.809	2.2
2009	Seca	BS2	6	10	MD	4	2.48	187	0.788	2.1
2009	Seca	BS2	7	10	MD	3	2.92	198	0.814	1.9
2009	Seca	BS2	8	10	MD	5	3.44	197	0.81	1
2009	Seca	BS2	9	10	MD	3	3.56	117	0.821	1.9
2009	Seca	BS2	10	10	MD	4	3.96	145	0.782	2.3
2009	Seca	BS2	11	10	MD	3	2.7	188	0.811	0.9
2009	Seca	BS2	12	10	MD	4	3.03	144	0.798	1.9
2009	Seca	BS2	13	10	MD	4	2.7	151	0.799	2.4
2009	Seca	BS2	14	10	MD	4	3.79	140	0.799	1.8
2009	Seca	BS2	15	10	MD	4	3.14	158	0.827	1.7
2009	Seca	BS2	16	10	MD	4	3.83	152	0.794	1.3
2009	Seca	BS2	17	10	MD	3	3.05	148	0.797	2.1
2009	Seca	BS2	18	10	MD	5	3.54	82	0.807	1.6
2009	Seca	BS2	19	10	MD	3	3.54	146	0.81	1.7
2009	Seca	BS2	20	10	MD	3	3.27	162	0.798	2.2
2009	Seca	BS2	21	10	MD	4	3.08	173	0.805	2
2009	Seca	BS2	22	10	MD	3	2.31	124	0.777	1.4
2009	Seca	BS2	23	10	MD	5	2.7	174	0.79	1.9
2009	Seca	BS2	24	10	MD	5	3.52	172	0.819	1.3
2009	Seca	BS2	25	10	MD	5	2.67	121	0.789	3
2009	Seca	BS2	26	10	MD	4	2.26	134	0.78	1.7
2009	Seca	BS2	27	10	MD	3	3.27	200	0.815	2.2
2009	Seca	BS2	28	10	MD	3	2.22	165	0.743	2.5
2009	Seca	BS2	29	10	MD	5	2.76	200	0.821	2.1
2009	Seca	BS2	30	10	MD	3	2.81	166	0.813	2.3
2009	Lluviosa	BS2	1	10	MD	4	2.51	191	0.768	2.2
