Temp_20	Temp_25	Temp_30	Temp_35	Temp_40	Biomass
3.5692	7.9712	6.2370	14.4237	13.2000	44.6700
7.4484	4.2811	6.2370	10.5098	13.2000	38.7000
8.2624	6.1661	6.2370	12.7470	13.2000	44.6700
6.2745	6.0941	6.0500	7.7807	12.1000	45.7800
6.7904	7.6007	6.2370	12.9802	11.7260	NA
4.9055	7.2725	6.2370	10.3267	12.4740	35.2300
5.4795	7.0985	6.2370	12.8110	13.2000	48.0000
2.9143	6.7713	6.2370	14.2831	12.4740	60.2300
6.4424	7.3037	6.6000	11.3026	13.2000	NA
5.6888	6.6255	6.2370	10.2449	12.4740	57.3800
8.0684	5.0303	5.8630	13.6195	13.9260	65.0700
3.7914	6.5363	6.2370	9.1221	12.4740	60.7500
6.1862	7.1510	6.2370	13.5864	13.2000	38.4700
6.1010	6.2849	6.4130	12.4497	12.4740	58.4900
4.9082	5.4132	6.6000	14.6544	12.4740	67.3500
5.9388	5.4064	6.2370	12.8403	12.4740	45.9000
4.3475	7.5484	6.2370	14.2165	12.4740	45.1600
8.1602	6.3185	6.6000	11.3720	12.4740	51.0800
3.2046	4.9273	6.2370	11.2880	13.2000	71.3100
5.4547	4.9147	6.9630	10.9734	13.2000	56.0000
5.7727	6.9219	5.8630	12.5120	13.2000	57.0900
5.5216	6.6981	6.6000	8.5621	13.2000	59.5600
6.8106	3.5055	6.2370	13.2164	13.2000	79.1700
8.5189	4.0164	5.8630	12.5313	13.9260	58.4600
4.8313	4.0826	6.6000	12.4653	12.4740	62.5300
6.7310	6.9218	6.6000	13.6713	13.2000	49.0200
4.5523	3.7055	6.6000	13.0056	13.2000	60.3000
8.1312	7.1193	6.6000	12.7012	13.2000	42.1600
4.0182	6.2364	6.6000	11.5740	13.2000	60.8200
6.4294	4.8031	6.6000	13.8432	12.4740	60.1200
5.0091	5.8627	6.9630	10.9441	13.2000	56.5700
4.9186	4.7226	6.6000	13.1609	13.2000	76.8100
5.4678	6.9733	6.2370	13.8195	13.2000	42.4100
7.8495	5.7515	6.2370	9.1889	13.2000	41.6200
4.7524	4.8358	6.9630	11.7981	13.2000	53.7400
8.9419	8.0318	6.3250	11.6714	12.6500	58.7100
6.7696	4.0813	6.7870	13.5059	12.4740	NA
6.1455	6.9323	6.2370	10.9819	13.2000	43.1100
6.7952	6.5905	6.6000	12.2794	13.2000	62.6100
8.3848	5.4158	6.2370	11.9407	13.2000	56.3100
5.6616	6.0883	6.2370	11.8157	13.2000	70.3300
6.7479	6.6034	6.2370	12.9738	13.2000	NA
6.0064	5.7306	6.6000	11.4609	13.2000	48.3800
5.3757	5.0491	7.3370	10.7369	12.8260	62.7600
4.3934	8.1340	6.6000	11.4064	13.9260	47.2400
4.9327	4.9987	6.0500	11.6524	13.2000	44.4700
8.5848	5.1123	6.6000	11.8285	13.2000	56.6700
4.2661	4.1705	6.6000	13.0383	13.2000	44.5800
3.1690	9.6175	6.9630	12.1491	13.2000	49.1000
6.3610	7.7704	6.6000	9.2082	13.2000	27.8500
8.5870	6.9726	7.3370	11.4946	13.9260	NA
9.1329	6.2188	6.6000	11.7802	13.9260	45.0400
4.3065	7.2703	6.6000	11.7725	13.2000	80.5600
5.7523	4.2762	6.9630	11.3083	13.2000	67.5400
5.1960	3.4016	6.9630	13.4066	13.2000	79.3400
4.9918	5.8847	6.4130	14.8236	14.3000	55.3900
4.7463	8.7193	6.9630	11.3798	13.2000	47.0600
6.4628	5.2442	6.6000	13.1650	13.5740	56.4400
6.1011	5.5934	6.6000	12.2455	13.9260	44.1300
2.7250	6.8168	6.6000	12.9623	13.2000	75.4700
3.5933	6.5679	6.6000	12.5253	13.2000	52.6700
6.0883	10.4268	6.7870	13.3102	13.9260	NA
5.5732	4.2557	6.9630	11.3178	12.4740	38.6100
5.2660	8.1391	6.7870	12.9138	13.2000	NA
5.6118	8.1158	6.9630	11.1487	13.2000	59.2900
3.8816	3.8306	6.6000	10.8645	13.2000	36.7400
4.2481	6.8812	6.7870	12.7513	13.5740	82.3300
5.7642	4.5650	6.6000	11.6459	13.9260	50.5600
7.0662	7.7806	6.9630	13.8418	13.2000	NA
6.2616	5.0323	6.7870	10.4307	13.9260	35.2100
7.1638	6.3633	6.9630	12.0167	13.9260	51.0000
4.8954	4.5772	7.1500	12.7205	12.8260	47.8500
5.1188	5.8128	6.9630	11.6927	13.5740	67.4700
5.0373	7.9860	6.9630	10.7928	13.2000	44.8300
3.3330	8.0328	6.6000	10.9814	13.2000	38.5000
4.7414	5.5964	6.6000	14.1280	14.6740	NA
4.5305	6.7649	6.9630	12.6538	13.9260	65.2300
2.4614	5.9817	6.7870	12.4915	14.3000	59.7700
3.1155	5.7498	7.1500	13.5174	13.2000	47.2400
7.4419	6.9206	7.3370	11.2923	13.2000	NA
5.8328	5.1615	7.1500	12.2379	13.5740	NA
5.3725	7.7879	7.3370	11.4545	14.6740	49.3600
6.6278	8.6002	7.1500	13.0699	14.3000	NA
5.6502	6.4348	6.9630	13.1032	14.6740	NA
4.7772	2.6975	7.3370	10.2127	13.5740	47.3600
4.3092	7.0156	7.5130	10.9287	14.3000	62.0200
7.3249	8.3244	6.9630	13.1448	14.6740	56.9200
4.9829	6.7377	7.7000	12.0122	14.3000	59.5700
6.2949	2.8933	7.3370	12.2264	15.4000	57.2900
5.2954	5.6942	7.1500	11.8933	13.9260	49.8000
6.6862	6.2880	7.3370	12.1895	13.9260	47.9300
5.5306	4.9617	7.3370	14.3987	14.6740	76.4700
3.4593	6.2381	7.7000	8.4978	15.4000	56.8600
6.4024	6.7391	6.9630	10.2679	14.6740	44.7600
5.7072	8.4531	7.3370	11.2507	13.9260	76.1100
8.2553	4.4546	7.3370	13.6960	13.9260	44.3000
4.9263	6.2440	7.3370	14.5562	14.6740	37.9500
5.3623	9.1446	8.0630	11.6328	13.9260	NA
6.7006	6.0615	7.7000	10.9664	14.3000	37.9400
6.8076	4.3080	7.5130	15.9159	15.0260	NA
6.2063	6.7334	8.0630	15.1075	16.1260	50.4700
5.3294	1.6979	5.1370	11.8584	10.2740	66.5300
4.9535	4.9988	5.8630	11.4772	12.4740	56.8900
6.5716	7.3235	6.2370	13.0803	12.4740	53.0000
3.8718	6.0731	6.2370	11.8991	13.2000	54.8700
2.9916	5.0704	5.8630	11.6149	13.2000	48.8400
6.3917	6.8945	5.8630	14.2690	11.7260	58.7400
5.4932	6.3233	6.6000	11.4316	13.2000	52.6100
4.3455	6.3876	6.2370	13.6788	12.4740	NA
7.5025	5.1493	6.6000	13.4125	13.2000	NA
3.9306	6.3507	6.6000	11.4714	12.4740	39.8900
3.5442	4.4204	6.2370	9.8810	13.2000	40.3500
6.4835	6.2169	6.6000	12.5364	13.2000	NA
6.9988	4.8294	5.8630	11.2894	13.9260	44.5200
6.8500	8.0400	6.6000	10.2493	12.4740	44.6200
6.0125	6.2007	6.6000	10.7316	13.2000	37.2000
4.8592	5.3990	6.6000	11.3482	13.2000	NA
8.1542	8.8501	6.2370	12.2746	13.2000	56.8900
6.4672	6.7589	6.6000	10.6341	13.2000	51.1900
5.4751	5.3954	6.6000	12.6442	12.4740	42.2900
8.5316	7.8708	6.2370	11.1397	13.9260	55.9000
4.7146	5.3799	6.6000	11.0631	13.2000	56.2700
5.4171	6.4016	6.6000	10.6348	13.5740	53.5600
7.3490	5.1424	6.6000	14.0890	13.9260	56.9100
5.4864	5.3140	5.8630	12.5434	13.2000	39.3100
6.5827	6.9325	6.6000	12.8758	13.2000	42.7900
4.9359	4.5494	6.6000	15.7563	13.2000	41.2200
3.8969	6.7937	6.9630	12.6185	13.9260	36.1800
3.8202	3.5092	6.6000	10.9808	13.9260	NA
8.9484	4.9159	6.6000	10.6745	13.9260	NA
6.8005	8.3163	6.6000	13.6371	13.2000	NA
4.7425	6.8798	6.6000	11.4296	13.2000	41.5200
8.8393	7.4782	7.3370	12.2020	13.2000	33.9200
7.1141	5.4004	6.6000	10.9570	13.9260	53.0900
6.4277	6.2110	6.6000	10.1782	13.9260	49.8100
4.7265	8.1598	7.3370	11.1131	13.2000	54.5200
5.7736	7.0087	6.6000	11.0583	15.0260	47.1000
6.5242	3.8604	6.7870	11.1454	13.9260	57.7200
5.8419	4.5306	7.1500	11.9559	13.5740	55.5500
5.9317	4.5470	7.1500	10.2784	13.2000	52.2800
7.0201	7.7650	6.9630	10.2917	13.9260	62.9100
6.6179	5.8499	8.0630	15.1277	13.9260	54.3200
7.4119	6.1324	6.9630	12.8198	14.6740	49.6200
5.1336	5.9096	7.3370	10.1892	13.9260	50.7600
5.2403	4.3955	7.7000	8.9177	13.2000	44.2400
4.9078	3.7730	6.9630	10.4116	13.9260	32.1600
5.4593	5.9532	7.3370	13.0787	13.9260	49.0100
5.5995	6.4332	7.3370	13.5676	13.9260	32.9200
6.0052	6.7889	7.3370	10.2795	13.2000	43.9600
5.2845	6.6597	7.3370	12.3066	14.6740	40.2800
7.8460	4.5700	8.0630	10.8928	13.9260	52.7200
6.2656	6.6743	7.7000	14.8903	16.1260	49.4100
8.6830	3.9814	7.5130	14.1874	15.4000	44.6500
3.9687	3.5312	7.8870	10.3400	15.7740	36.0000
6.7454	7.6250	5.8630	13.4880	11.7260	75.7400
5.8106	5.6689	6.2370	9.3222	13.2000	47.2800
5.5270	5.3736	5.8630	12.8281	12.4740	NA
4.4588	6.7739	5.8630	13.2951	13.2000	56.9200
4.3035	5.5105	5.8630	14.3728	12.4740	55.6800
4.3835	4.2017	5.8630	12.6123	12.4740	66.4100
9.0014	8.8112	6.2370	12.8264	12.4740	65.4100
4.6813	4.8728	6.6000	11.1749	13.2000	56.8100
5.0382	5.9306	6.2370	15.9412	13.2000	53.8600
3.9937	6.9728	6.6000	10.5685	12.4740	41.0900
4.2075	5.9270	6.2370	12.0387	13.2000	NA
6.0490	5.2072	6.6000	11.4193	12.4740	40.7000
4.7610	3.0736	6.2370	12.8198	13.2000	73.3000
5.0577	8.1749	6.2370	10.7874	13.2000	56.5500
6.8923	6.3927	6.6000	13.3892	13.2000	NA
5.7564	7.4448	6.6000	12.4164	13.2000	61.8900
5.8246	4.9424	6.6000	12.7608	13.2000	64.0400
4.8382	7.6497	6.6000	11.5667	13.2000	56.4900
4.4833	5.0779	6.2370	10.3527	13.9260	36.6600
7.1036	4.0758	6.6000	14.7883	11.7260	58.0600
8.0454	6.8276	6.2370	10.3274	13.2000	67.2400
5.3136	4.6973	6.9630	12.1374	14.6740	50.7800
2.9174	6.4015	6.9630	12.1514	13.9260	34.9300
5.6368	5.0821	6.2370	8.7001	12.4740	NA
4.6299	5.0102	6.6000	13.8477	13.2000	52.2600
5.3924	4.4692	7.1500	10.4297	12.1000	56.5100
2.9514	6.4808	6.9630	12.4213	13.9260	NA
6.8333	4.7591	7.3370	14.8756	13.2000	69.7400
5.9270	4.7994	6.7870	12.1340	13.5740	41.2200
6.0488	6.0997	6.7870	12.8956	13.5740	45.9900
6.1340	5.9837	6.7870	12.5340	13.5740	53.7800
4.0623	5.4141	6.4130	12.2780	13.9260	75.2600
5.4250	6.4639	6.9630	7.7588	13.2000	66.0800
6.1398	8.1791	6.6000	13.3312	13.2000	54.0700
7.1160	5.8747	6.9630	11.6119	13.2000	NA
4.4942	6.1605	7.3370	14.1961	13.5740	NA
2.5233	4.8696	6.9630	12.2561	13.2000	NA
3.1158	8.4012	6.6000	12.4824	13.2000	52.4800
5.0806	5.7814	6.9630	10.1685	13.2000	39.0400
8.1730	5.2151	7.3370	12.8918	13.2000	73.2200
5.2524	7.2826	6.9630	13.9339	13.9260	49.7400
6.0408	4.8610	7.3370	13.9611	13.9260	NA
6.4142	4.8310	6.7870	15.5393	14.3000	41.3700
2.1850	8.5303	7.3370	12.7768	13.9260	43.5900
5.7278	7.2110	7.1500	15.0579	13.9260	67.9000
4.5753	7.3606	7.3370	10.7760	13.2000	55.0300
7.1389	6.0536	7.3370	11.7857	13.9260	39.7600
5.8452	6.8115	6.9630	11.8860	14.6740	61.4400
5.1522	7.0099	7.5130	12.4365	14.3000	NA
5.6534	5.6131	7.7000	17.1614	13.9260	50.3400
4.4308	8.1896	7.3370	12.3577	14.6740	50.3500
4.0399	5.4464	7.7000	13.4498	13.9260	50.3500
5.3189	4.4783	7.3370	12.0443	13.9260	51.5200
5.0150	8.1329	7.7000	13.1216	15.4000	37.7300
3.9033	7.0331	6.9630	14.1321	15.4000	48.5400
4.6518	6.2714	7.3370	12.3987	14.6740	36.0700
5.7044	6.2621	8.0630	9.9890	15.4000	NA
5.6545	6.1024	7.5130	12.6978	14.6740	32.1200
3.5234	5.6627	7.8870	9.4649	16.5000	37.9700
5.7438	7.9851	8.2500	12.1222	16.1260	41.5500
8.1520	5.1445	5.8630	15.5956	11.7260	58.8000
6.1637	6.0812	5.8630	13.8979	12.4740	39.2100
7.1083	9.1096	6.2370	11.9095	12.4740	NA
5.8016	5.5357	6.2370	14.3233	12.4740	50.6300
3.2101	5.1394	6.0500	12.0703	13.2000	NA
4.5591	4.0088	6.2370	12.8641	12.4740	55.7900
4.5131	6.1535	6.6000	11.2063	11.7260	NA
6.0391	9.6222	6.2370	13.1135	12.4740	NA
3.9427	5.8713	6.2370	11.6863	13.2000	44.1000
4.0487	6.3911	6.2370	11.1184	12.4740	NA
4.4538	6.3470	6.2370	11.9768	11.7260	57.1900
6.0009	5.7865	6.2370	12.2627	12.4740	NA
7.0265	8.0555	6.2370	10.9083	13.2000	NA
4.2852	6.5117	6.6000	13.8410	13.2000	55.4600
5.5711	9.3091	6.9630	11.3546	12.4740	64.1200
4.7095	7.0850	6.2370	12.7391	13.2000	49.3500
2.1755	5.4695	5.8630	13.2099	13.2000	46.1000
5.9913	2.7963	6.6000	11.8767	13.2000	43.5200
6.4266	6.4245	6.2370	10.4172	13.2000	NA
4.9191	6.2863	6.2370	13.7089	13.2000	48.7400
5.8386	6.2291	6.0500	12.4949	13.2000	45.8900
5.4280	7.7326	6.6000	12.5623	12.4740	NA
7.8290	5.1502	6.2370	12.9570	12.4740	43.7700
2.6348	6.1985	6.6000	14.1707	13.2000	55.6100
6.6255	3.8114	6.2370	13.4437	13.2000	NA
5.0535	5.6772	6.6000	13.1235	13.2000	55.0500
6.6816	8.7572	6.6000	12.7741	13.2000	36.6800
6.3607	7.2030	6.9630	16.8355	13.2000	45.1400
5.4310	3.1174	6.6000	11.1164	12.4740	58.3100
6.7194	7.1995	6.6000	14.7275	12.4740	NA
5.5422	4.4476	6.6000	13.0614	13.2000	51.7100
7.9761	5.4176	6.2370	12.4561	13.9260	45.5800
6.6031	9.8021	6.6000	15.0255	13.2000	39.6700
4.5741	9.1360	6.6000	13.1564	13.2000	48.9900
5.2935	6.8177	6.6000	13.4826	13.9260	NA
2.7632	6.3442	6.6000	13.8931	12.4740	58.6700
4.8769	4.1769	6.6000	13.2682	13.2000	36.4600
4.3932	5.8446	6.6000	9.9244	13.2000	NA
5.9176	4.6844	6.6000	10.1711	12.4740	55.8100
6.9315	5.3512	6.9630	11.7476	13.2000	39.0700
3.6607	6.1305	6.6000	12.8352	12.4740	NA
5.5485	5.4222	6.6000	11.9553	13.5740	51.8300
6.6287	6.5881	6.6000	10.9147	13.9260	50.1400
3.3293	7.0985	6.7870	12.8193	12.8260	52.1700
5.9766	7.2576	6.6000	13.6758	13.9260	46.8800
6.7645	5.6113	6.7870	10.6933	14.3000	40.7900
3.9217	4.9381	6.4130	10.8360	13.2000	54.8200
6.4930	3.8897	6.6000	13.6970	13.2000	59.5800
8.9312	5.6497	6.6000	11.5001	13.2000	NA
4.6756	5.8649	6.6000	11.4502	13.2000	35.7200
4.1988	5.7266	6.6000	11.7420	13.2000	57.1100
5.2457	6.1455	6.6000	11.7342	13.9260	NA
3.7043	6.0177	6.4130	11.6726	12.8260	46.0300
0.9700	7.9599	6.6000	11.3846	13.9260	NA
4.4561	5.4439	6.7870	10.2340	13.5740	45.3200
3.8764	5.9308	7.1500	12.0434	13.5740	34.0500
4.9792	3.7240	6.9630	11.3366	13.9260	56.5600
7.3862	6.4282	6.6000	11.5044	13.5740	NA
7.2023	5.8036	6.6000	10.5366	13.5740	NA
5.8816	7.8254	6.7870	12.2957	13.2000	NA
8.3403	4.3176	6.6000	10.5656	13.9260	NA
4.4208	5.8568	6.6000	11.0584	13.5740	NA
6.2872	7.2099	6.6000	11.7222	13.9260	35.8400
5.7138	5.2768	6.6000	11.9232	13.9260	38.2000
4.2399	6.7506	6.6000	11.6128	14.6740	56.4000
5.5879	6.1692	7.3370	10.3427	14.6740	54.6600
6.1722	8.0166	7.1500	11.2976	14.3000	NA
5.7018	6.3035	6.9630	13.0483	13.2000	NA
5.6951	4.6924	7.1500	10.7561	13.2000	53.2500
5.8526	6.6274	7.1500	11.0034	13.5740	57.0100
7.6536	4.6791	6.7870	12.0742	13.5740	NA
7.7655	5.4298	6.7870	10.4072	13.5740	50.7700
4.1121	7.4832	6.6000	12.0531	13.9260	40.8200
5.3734	5.9749	6.6000	13.5110	14.3000	60.0900
4.3560	7.3332	6.6000	11.1907	13.9260	54.9600
3.8486	4.4684	6.9630	11.5218	14.3000	NA
6.3301	5.0149	6.9630	14.0894	13.5740	35.8600
2.9099	4.8452	7.1500	13.9518	15.4000	48.3800
4.4810	8.1814	6.7870	15.0497	14.3000	64.9200
7.0615	7.4899	7.3370	9.7602	14.6740	57.3000
3.8324	5.5515	7.7000	15.3389	13.2000	49.6200
2.8847	4.4727	6.6000	14.7678	13.9260	46.3500
5.3408	6.9928	7.7000	10.9967	13.2000	NA
5.0313	4.1405	7.1500	12.1585	13.9260	52.1200
2.8661	7.2361	6.9630	10.3893	13.2000	NA
8.5413	4.8100	6.6000	14.8346	13.9260	50.8200
6.5966	7.5971	7.3370	13.1385	13.9260	37.7000
6.9570	4.9964	6.7870	10.4243	13.9260	70.7000
4.3535	6.0439	6.9630	13.1805	13.9260	64.5900
5.1090	6.1922	7.3370	11.0566	14.6740	51.8500
7.1649	5.8666	6.9630	11.6319	15.4000	44.4500
3.6954	5.5601	7.1500	15.6199	14.3000	42.0600
6.1030	4.5069	6.7870	10.7869	14.6740	38.9300
4.2733	6.5161	7.1500	11.9074	14.3000	60.1400
8.4014	7.0396	7.5130	8.8443	13.9260	52.7300
3.9500	6.6110	7.5130	12.0334	13.5740	54.8700
4.6890	3.5377	6.7870	10.9224	15.0260	51.2500
5.7378	2.6210	6.9630	13.7929	14.6740	29.2900
1.0923	6.0208	7.3370	16.0347	13.2000	NA
5.1243	7.6199	7.7000	12.5863	13.9260	NA
6.7130	5.6226	7.7000	12.9679	13.2000	43.5300
6.2258	5.1169	7.3370	10.3399	13.2000	NA
6.8530	6.9811	7.7000	12.4320	14.6740	44.7800
3.5344	6.3955	7.3370	11.6093	14.6740	47.9300
4.8835	6.2730	7.3370	11.2106	14.6740	NA
5.2210	6.9209	7.5130	12.0918	14.3000	46.8600
6.5546	6.1084	7.7000	12.4050	14.6740	46.3100
4.6328	3.9472	7.1500	11.2437	15.0260	37.2700
7.4586	7.2827	8.0630	10.9116	15.0260	41.5400
5.2252	5.7967	7.3370	13.0416	15.4000	NA
4.5693	6.4891	7.7000	11.7515	14.3000	40.9500
6.0754	7.2489	7.7000	11.2931	15.4000	24.9000
3.5667	8.2710	7.7000	12.2984	15.4000	70.1200
6.0709	8.6290	8.0630	11.4522	15.4000	38.4700
5.5674	6.4605	7.8870	16.7006	15.7740	49.2900
4.8713	5.6473	7.7000	14.4893	16.1260	41.2600
6.7695	5.9270	8.2500	10.8052	16.5000	69.8600
